,Rank,Value,Name,Price,Signature,Comments,Tone Grade,Technical Grade,Setup,Status
196,B,,Moondrop Crescent,Discont.,Neutral with bass boost,Well-executed V-ish signature that's neither harsh nor bloated.,A,C+,DD,Third party unit
197,B,★,FiiO FH5,260,Neutral with bass boost,"Stellar bass response and decent technical ability, not much to fault.",B,B,3BA 1DD,E1 demo unit
198,B,★,Sennheiser IE300,300,V-shaped,Fairly mainstream tuning with a treble response that's well done given its emphasis.,B,B,DD,
199,B,,Tanchjim Prism,600,V-shaped,,B,B,2BA 1DD,Available for demo at The Hangout
200,B,,FiiO FD7,600,V-shaped,,B,B,DD,e-Earphone demo unit
201,B,,FiiO FH9,600,Mild V-shape,,B,B,6BA 1DD,Available for demo at The Hangout
202,B,,Fearless La Hire,610,Neutral,Well-tuned neutral-style monitor with subpar treble extension.,B,B,2EST 2BA,Music Sanctuary demo unit
203,B,,Yanyin x HBB Mahina,650,Neutral with bass boost,,B,B,2EST 4BA 1DD,Third party unit
204,B,,Yanyin Moonlight,650,Neutral with bass boost,,B,B,2EST 4BA 1DD,Available for demo at The Hangout
205,B,,Aya Trident,800,U-shaped,"Somewhat strange tuning that seems to try to do everything, but results in a slightly wonky tonality.",B,B,4EST 4BA,Available for demo at The Hangout
206,B,,Moondrop Illumination,800,Warm neutral,"Well-tuned with natural timbre, ultimately marred by subpar detail retrieval and definition.",B,B,DD,Available for demo at The Hangout
207,B,,iBasso IT07,900,U-shaped,"More similar to its predecessor the IT04, with more bass and less treble.",B,B,6BA 1DD,Zeppelin & Co demo unit
208,B,,qdc 5SH,900,V-shaped,"Fun, lively signature that retains high levels of performance.",B,B,5BA,Music Sanctuary demo unit
209,B,,Kinera Nanna 2.0,900,V-shaped,Bass is a tad uncontrolled and the mids could use more refinement. The original is arguably superior.,B,B,2EST 1BA 1DD,
210,B,,Symphonium Triton,900,Neutral,,B,B,2BA 1DD,Zeppelin & Co demo unit
211,B,,AKG N5005,1000,Neutral with bass boost,Amazing bass control only let down by plastic timbre.,B,B,4BA 1DD,Zeppelin & Co demo unit
212,B,,Unique Melody Mirage,1100,Mild V-shape,"Tonally-balanced, technically acceptable, nothing much to criticise though no big praises either.",B,B,3BA,Stereo SG demo unit
213,B,,Empire Ears Vantage,1400,V-shaped,"A Legend-X-mini, essentially. Nice alternative on a ""budget"".",B,B,1BA 2DD,Zeppelin & Co demo unit
214,B,,"Sony Justear XJE-MH2 ""Club""",2150,Warm V-shape,"Nice, pleasant signature that is reminiscent of a more textured HS1551.",B,B,1BA 1DD,Third party custom
215,B,,Ultimate Ears UE18+ Pro Gen 2,Discont.,Warm neutral,Somewhat reference tuning with emphasis on tonal accuracy and naturalness,B,B,6BA,Personal unit
216,B,,Kumitate KL-REF Type S,Discont.,Variable,Triggers uncanny valley hard. Presentation is always slighty off in some area that I can't pinpoint.,B,B,3BA 2DD,Showfloor demo unit
217,B-,★★★,HZSound Heart Mirror Pro,80,Mild V-shape,,B+,B-,DD,Third party unit
218,B-,★,Sony WF-1000XM3,230,Neutral with bass boost,"Proper tonality, solid technicalities yet with a consumer-friendly signature.",B+,B-,DD,ConnectIT demo unit
219,B-,★,Acoustune HS1300,350,V-shaped,"A less warm, slightly brighter version of the coveted HS1551.",B-,B+,DD,Zeppelin & Co demo unit
220,B-,,AAW AXH (2019),430,Bright neutral,Sharp treble though not to the point of being piercing. Decent rendition of the bright-neutral signature.,B-,B+,4BA 1DD,Music Sanctuary demo unit
221,B-,,Shanling ME700 Lite,500,Neutral,Rather radical change from the original ME700; far less warm with more upper-mid emphasis.,B+,B-,4BA 1DD,Available for demo at The Hangout
222,B-,,Unique Melody MacBeth,600,U-shaped,Extremely clear but may be too thin for some.,B-,B+,1BA 1DD,Third party unit
223,B-,,Elysian Artemis V2,700,Neutral,"A detailed, somewhat neutral-sounding IEM that should fit most people's tastes.",B-,B+,3BA,Showfloor demo unit
224,B-,,Acoustune HS1655Cu,750,V-shaped,Deep V-shape signature with some odd treble spikes; very Acoustune.,B-,B+,DD,Zeppelin & Co demo unit
225,B-,,Acoustune HS1657,750,V-shaped,Deep V-shape signature with some odd treble spikes; very Acoustune.,B-,B+,DD,Zeppelin & Co demo unit
226,B-,,DUNU DK-4001,900,U-shaped,A little shrill with slight cutbacks in tone compared to the DK-3001 Pro.,B-,B+,4BA 1DD,Available for demo at The Hangout
227,B-,,Acoustune HS1677,900,V-shaped,Deep V-shape signature with some odd treble spikes; very Acoustune.,B-,B+,DD,Zeppelin & Co demo unit
228,B-,,Kinera Nanna,900,Mild V-shape,Surprisingly well-extended for an EST implementation; somewhat blunted notes overall.,B+,B-,2EST 1BA 1DD,E1 demo unit
229,B-,,Beyerdynamic Xelento,1000,V-shaped,"Like the T8iE, with a little more treble and upper mids.",B-,B+,DD,Zeppelin & Co demo unit
230,B-,,Chikyu-Sekai 16/Cosmos,1100,Warm neutral,,B-,B+,16BA,e-Earphone demo unit
231,B-,,Lime Ears Aether,1350,Neutral with bass boost,Excellent clarity and tone but marred slightly by slightly lackluster resolution,B+,B-,5BA,Music Sanctuary demo unit
232,B-,,Craft Ears Aurum,1500,Neutral with bass boost,,B+,B-,2EST 4BA 1DD,Zeppelin & Co demo unit
233,B-,,FAudio Mezzo,1900,Variable,,B-,B+,1Piezo 2BA 1DD,Zeppelin & Co demo unit
234,B-,,Sony MH755,Discont.,U-shaped,"Clean notes, proper sub-bass extension and a tonal balance beyond expectations.",B+,B-,DD,Personal unit
235,B-,,Sony MDR-AS800AP,Discont.,Neutral with bass boost,Extremely well-balanced tuning but with unfortunately middling technicalities.,S-,C,DD,Personal unit
236,B-,★★★,Intime Sora,45,U-shaped,Well controlled bass boost with slightly skewed tonality. Potential is there.,A-,C+,DD,Third party unit
237,B-,★★,Moondrop Sparks,90,Neutral,"A tad too shouty and lacking low-level detail, but nothing too egregious as a whole.",A-,C+,DD,Available for demo at The Hangout
238,B-,★,Fatfreq Musician Plus V2,230,Neutral with bass boost,,A-,C+,2BA,Showfloor demo unit
239,B-,★,Audio Lokahi,240,Neutral with bass boost,,A-,C+,7BA,Third party unit
240,B-,★,JVC HA-FW03,250,Bright V-shape,Slightly shouty but balanced out by a warm mid-bass hump. Lacking overall definition.,A-,C+,DD,Jaben SG demo unit
241,B-,★,Sony MDR-EX800ST/MDR7550,350,Bright neutral,"A more forgiving, warmer version of the EX1000.",C+,A-,DD,Third party unit
242,B-,,Nostalgia Benbulbin,900,Neutral with bass boost,,A-,C+,4BA 1DD,E1 demo unit
243,B-,,Dita Fidelity,1300,V-shaped,The more technical and less natural sounding of the Dita twins.,C+,A-,DD,Zeppelin & Co demo unit
244,B-,,Vision Ears EVE 20,1550,V-shaped,Solid technicalities in tandem with an uninspired tuning.,C+,A-,6BA,E1 demo unit
245,B-,,Empire Ears Valkyrie,1600,V-shaped,Lots of sub-bass with extremely thin mids. Adequate technicalities.,C+,A-,1EST 1BA 1DD,Zeppelin & Co demo unit
246,B-,,Empire Ears Valkyrie Mk2,1600,V-shaped,Not too dissimilar to its predecessor.,C+,A-,1EST 1BA 1DD,Zeppelin & Co demo unit
247,B-,,Tripowin Lea,Discont.,Mild V-shape,,A-,C+,DD,Available for demo at The Hangout
248,B-,★★,Tin HiFi T4,110,Bright neutral,A worthy successor to the legendary GR07.,B,B-,DD,Available for demo at The Hangout
249,B-,★★,DUNU Titan 3,140,Bright neutral,"A more reined-in variant of the Titan 3's sound, more peaky but also slightly more resolving.",B-,B,DD,Third party unit
250,B-,★,qdc Neptune,200,Warm neutral,Tuning and configuration is simple but goes a long way when implemented well.,B,B-,BA,Music Sanctuary demo unit
251,B-,★,Apple AirPods Pro,250,Neutral,Somewhat Diffuse-Field tuning with a smooth and natural midrange tonality.,B,B-,DD,Third party unit
252,B-,★,ThieAudio Legacy 5 (L5),250,Warm neutral,A little lacking in the upper-mids but otherwise a competent set.,B,B-,4BA 1DD,
253,B-,★,Veedix Diamond String,260,V-shaped,,B,B-,4BA 1DD,Available for demo at The Hangout
254,B-,★,Shozy & Neo BG,280,Bright neutral,"Well balanced tuning with decent resolution, though suffers from slight timbral issues.",B-,B,5BA,Zeppelin & Co demo unit
255,B-,★,DUNU DK-2001,300,V-shaped,Slightly warm-tilted with a bit of treble spiciness.,B-,B,3BA 1DD,Review loaner
256,B-,★,FiiO FD5,350,V-shaped,Pretty standard V-shaped tuning though surprisingly proficient in technicalities.,B-,B,DD,AV One demo unit
257,B-,,Fatfreq Reference Pro,370,Neutral,,B,B-,3BA,Showfloor demo unit
258,B-,,Fearless S6Rui,390,V-shaped,Similar to the S4/S5H though with smoother upper mids and treble response.,B-,B,6BA,Music Sanctuary demo unit
259,B-,,Anthem Five E4,400,Neutral with bass boost,"The all-rounder; nothing stands out but nothing sounds terrible either. Safe, but perhaps too safe.",B,B-,4BA,Review custom
260,B-,,ARC Mira,410,Neutral,A well-tuned basic setup with strengths in versatility.,B,B-,2BA,Showfloor demo unit
261,B-,,Sony XBA-A3,480,Warm neutral,Coherent hybrid with a warm-ish tilt to its tone.,B-,B,2BA 1DD,Third party unit
262,B-,,TRI Starshine,500,Bright V-shape,"A good example of ""too much of a good thing"": treble extension. Sibilance issues abound, but otherwise fine.",B-,B,2EST 2BA,Available for demo at The Hangout
263,B-,,Final Audio B3,500,Warm neutral,Probably the best tuned of Final's B-series. Reminiscent of the E-series with BA characteristics.,B,B-,2BA,Showfloor demo unit
264,B-,,ThieAudio Legacy 9 (L9),550,Bassy,Bass a little too slow and sluggish with minor quirks in the midrange-treble transition.,B-,B,8BA 1DD,Third party unit
265,B-,,NocturnaL Atlantis,600,Neutral,Reference signature with immense clarity and energy.,B-,B,4BA,Treoo demo unit
266,B-,,Sony XBA-Z5,700,"""Balanced""",All-rounder. Somewhat neutral both in FR and tonality.,B-,B,2BA 1DD,Showfloor demo unit
267,B-,,Craft Ears Argentum,850,V-shaped,,B,B-,2BA 1DD,Zeppelin & Co demo unit
268,B-,,PEARS SH2,860,Neutral,An odd take on neutrality but not the worst.,B-,B,2BA,Zeppelin & Co demo unit
269,B-,,Gaudio Clariden,862,V-shaped,"Somewhat reminiscent of a more mid-y Andromeda, though with extra wonkiness.",B-,B,3BA,Available for demo at The Hangout
270,B-,,"Fidue A91 ""Sirius""",900,Warm V-shape,Uniquely tuned hybrid. Not very powerful DD bass with Diffuse-Field midrange.,B-,B,4BA 1DD,LMUE demo unit
271,B-,,Unique Melody Miracle V2,1050,Mild V-shape,Slight downsloping signature with a treble spike for sparkle.,B-,B,6BA,Stereo SG demo unit
272,B-,,Soranik Ion,1100,Warm,"Clearly inspired by the 334, follows the same strengths in female vocals",B-,B,5BA,Music Sanctuary demo unit
273,B-,,Vision Ears VE3.2,1200,Warm neutral,"Almost VE8-like in tonality, but lacks its technical abilities.",B,B-,3BA,E1 demo unit
274,B-,,Noble Tux 5,1300,U-shaped,"Deep, sub-bass focus with potentially sibilant treble. Scooped midrange.",B-,B,4BA 1DD,Stereo SG demo unit
275,B-,,HUM Reference,1300,Neutral,Basically sounds like a shallow-fit ER4S.,B,B-,BA,Zeppelin & Co demo unit
276,B-,,Westone ES60,1300,Neutral with laid-back treble,"Great timbre and well-tuned, held back by its resolution",B,B-,6BA,A2A Melbourne demo unit
277,B-,,Custom Art FIBAE 7,1450,Neutral,Neutral tuning with a more relaxed top end. Probably the best-tuned Custom Art.,B,B-,7BA,Music Sanctuary demo unit
278,B-,,qdc Dmagic,1900,Neutral,Probably the best triple-DD IEM out there by virtue of not being a hot mess tonally.,B,B-,3DD,Music Sanctuary demo unit
279,B-,,Aure Flame,2000,Mild V-shape,A little better managed than the Elixir but not a massive improvement. Reminds me of a budget FH5.,B,B-,?,Ear.Inc demo unit
280,B-,,Sony XBA-H3,Discont.,Warm neutral,Coherent hybrid with a warm-ish tilt to its tone. Similar to the XBA-A3.,B-,B,2BA 1DD,Third party unit
281,B-,★★★,Tanchjim Cora,50,V-shaped,"Well-controlled bass boost, though coupled with a slightly odd midrange tonality.",B+,C+,DD,Oardio demo unit
282,B-,★★,Tin HiFi T3 Plus,70,V-shaped,,B+,C+,DD,Available for demo at The Hangout
283,B-,★★,Tripowin x HBB Olina SE,100,Mild V-shape,,B+,C+,DD,Available for demo at The Hangout
284,B-,★,JBL LIVE 300TWS,150,V-shaped,"Kind of Harman-ish, but not. Heavy on the bass and sharp in the treble.",B+,C+,DD,Zeppelin & Co demo unit
285,B-,★,Audiosense AQ3,180,Bassy,"Well-controlled bass despite the emphasis, limited by overall resolving ability.",B+,C+,2BA 1DD,Available for demo at The Hangout
286,B-,★,Bose SoundSport Free,200,Neutral,"Solid tonal balance with wide soundstage, though not the best in detailing.",B+,C+,DD,ConnectIT demo unit
287,B-,,Acoustune HS1551,500,Warm V-shape,Warm and smooth tonality with a pleasing tuning not many would hate.,C+,B+,DD,Zeppelin & Co demo unit
288,B-,,Unique Melody Macbeth Ti,700,U-shaped,,B+,C+,1BA 1DD,e-Earphone demo unit
289,B-,,Empire Ears EVR,800,Neutral,A nicely tuned flat-ish signature with good technical ability all around.,C+,B+,3BA,Zeppelin & Co demo unit
290,B-,,Sennheiser IE800,800,Warm,Good bass with shimmery treble. Downsloping response with slightly wonky tonality.,C+,B+,DD,Jaben SG demo unit
291,B-,,Aroma Witch Girl S,900,Warm,Pretty good technicalities but with a rather generic tuning.,C+,B+,5BA,AV One demo unit
292,B-,,FiR VxV,1000,Mild V-shape,Interested coloured take on a neutral reference signature. A little uneven in the mids.,C+,B+,4BA 1DD,Zeppelin & Co demo unit
293,B-,,64 Audio A4t,1000,Neutral with bass boost,Good tonal balance but lacking in definition and low-level detailing,B+,C+,4BA,Music Sanctuary demo unit
294,B-,,Sennheiser IE800S,1200,Warm,Very subtle refinement to the original IE800.,C+,B+,DD,Jaben Melbourne demo unit
295,B-,,Campfire Solaris (SE),1500,"""Balanced""",Coherent and well balanced hybrid though with slight midrange hollowness.,C+,B+,3BA 1DD,E1 demo unit
296,B-,,FitEar Private 333,1500,Bright,Very exciting and sharp signature. Fatiguing and not for everyone.,C+,B+,3BA,Jaben SG demo unit
297,B-,,Dita Dream XLS,1850,Neutral,"Standard Dita house sound with a non-standard bass roll-off. Decent, not amazing.",C+,B+,DD,Zeppelin & Co demo unit
298,B-,,Unique Melody Maven,2000,V-shaped,"Decently resolving, decent tonality; not bad, not amazing.",C+,B+,11BA,Stereo SG demo unit
299,B-,,Aroma Witch Girl W12,3150,Warm V-shape,"Warm response balanced out by a sparkly treble emphasis; good technicalities, if a little narrow-sounding.",C+,B+,12BA,AV One demo unit
300,B-,★,Nothing Ear (2),150,Neutral with bass boost,,A-,C,DD,Available for demo at The Hangout
301,B-,,Acoustune HS1697,1150,V-shaped,A little wonkier than your average Acoustune but still retains the signature V-shape.,C,A-,DD,Zeppelin & Co demo unit
302,B-,,Campfire Ara,1300,Bright neutral,"Very resolving set of IEMs, triggers the ""uncanny valley"" effect with its tuning.",C,A-,7BA,Third party unit
303,B-,,Jomo Tango,1400,V-shaped,Deep V-shape signature with a warm tilt; good technicalities.,C,A-,6BA,Showfloor demo unit
304,B-,,Dita Perpetua,3000,"""Balanced""",,C,A-,DD,e-Earphone demo unit
305,B-,,Aroma Ace,3700,Neutral,Really odd take on neutrality. Not the worst... but it's not natural by any means.,C,A-,12BA,AV One demo unit
306,B-,★★,DUNU Titan 1,110,Bright,"Bright, almost DF-ish in tonality. Shouty but with open imaging and decent detail.",B-,B-,DD,Third party unit
307,B-,★★,TRI Starsea,130,U-shaped,,B-,B-,2BA 1DD,Available for demo at The Hangout
308,B-,★,ikko OH1,140,V-shaped,"Well controlled sub-bass focus, high clarity and has an inherent ""Asian"" signature.",B-,B-,1BA 1DD,Zeppelin & Co demo unit
309,B-,★,Shanling ME200,180,V-shaped,"Slight mid-scoop going on. A little shouty, a little bassy, but not bad overall.",B-,B-,1BA 1DD,E1 demo unit
310,B-,★,Audio Technica ATH-LS200,250,Neutral,Somewhat Diffuse-Field neutral with its own quirks. Good technical ability.,B-,B-,2BA,Stereo SG demo unit
311,B-,★,Fearless S4,290,V-shaped,Tonally accurate though can be a little heavy with its upper midrange.,B-,B-,4BA,Music Sanctuary demo unit
312,B-,★,Aune Jasper,300,Mild V-shape,A little shouty but overall a well-balanced tonality that's more pleasing than divisive.,B-,B-,DD,Available for demo at The Hangout
313,B-,★,BGVP DM7,300,Warm neutral,Much more tonally-balanced take on the popular DM6.,B-,B-,6BA,Available for demo at The Hangout
314,B-,★,Oriveti OH300,300,V-shaped,More similar than different to the OH500. Non-offensive tuning with decent technicalities.,B-,B-,2BA 1DD,Jaben Melbourne demo unit
315,B-,★,Itsfit R3,305,Neutral,"Similar to the lauded UERM, but without its resolution nor sparkle.",B-,B-,3BA,Available for demo at The Hangout
316,B-,,Fearless S5H,330,V-shaped,"Similar if not identical to the S4, though with a little less upper mids.",B-,B-,5BA,Music Sanctuary demo unit
317,B-,,Sennheiser IE400 Pro,350,V-shaped,Heavy bass boost balanced out by good treble energy along with decent midrange tonality.,B-,B-,DD,ConnectIT demo unit
318,B-,,XENNS Mangird Tea 2,350,Neutral with bass boost,,B-,B-,6BA 1DD,Available for demo at The Hangout
319,B-,,InEar StageDiver SD-2,400,Neutral,"As with most GQ setups: well-balanced, excellent tuning and decent technical ability.",B-,B-,2BA,Zeppelin & Co demo unit
320,B-,,FiiO FA9,450,Neutral,More of a downslope-neutral kind of tonality. A bit above average as far as technical performance goes.,B-,B-,6BA,AV One demo unit
321,B-,,Oriveti OH500,500,V-shaped,More similar than different to the OH300. Non-offensive tuning with decent technicalities.,B-,B-,4BA 1DD,Jaben Melbourne demo unit
322,B-,,Kinera Skuld,550,Neutral,,B-,B-,5BA,e-Earphone demo unit
323,B-,,ARC Oculus,570,Warm,"Relaxing, warm signature with sub-par resolving ability.",B-,B-,3BA,Showfloor demo unit
324,B-,,Ultimate Ears UE6 Pro,700,"""Balanced""",A capable hybrid with little weaknesses.,B-,B-,1BA 2DD,Music Sanctuary demo unit
325,B-,,TRI Starlight,800,U-shaped,Painful sibilance due to uncontrolled upper treble.,B-,B-,4EST 2BA 1DD,Available for demo at The Hangout
326,B-,,Colorfly Quintet,900,Mild V-shape,,B-,B-,4BA 1DD,Review loaner
327,B-,,Clear Tune Monitors CT-6E,1000,Neutral,"Good, well-balanced tonality though falls apart from the treble upwards.",B-,B-,6BA,Jaben SG demo unit
328,B-,,Stealthsonics U9 JDM,1100,Neutral with bass boost,Does away with the timbre issues of the standard U9.,B-,B-,8BA 1DD,Showfloor demo unit
329,B-,,Meze Rai Penta,1100,Warm V-shape,Pleasing tonality with subpar technical ability.,B-,B-,4BA 1DD,E1 demo unit
330,B-,,Elysian Cora (2019),1230,Neutral with bass boost,A decent hybrid weird slightly odd midrange tonality.,B-,B-,4BA 1DD,Showfloor demo unit
331,B-,,FitEar TG334,1400,Dark,Like the MH334 with quite a bit less treble,B-,B-,4BA,Personal unit
332,B-,,Rhapsodio Solar,1550,Mild V-shape,An all-rounder to a fault. Truly a master of none.,B-,B-,10BA,Zeppelin & Co demo unit
333,B-,,FitEar MH334,1900,Warm,"Perfect for female vocals, but otherwise quite coloured",B-,B-,4BA,Third party custom
334,B-,,Aure Elixir,2000,Mild V-shape,Sort of wonky-but-not tonality that reminds me of some of Audiosense's weird IEMs.,B-,B-,3BA 1DD,Ear.Inc demo unit
335,B-,,Soranik Bastille Signature,?,V-shaped,"Upper-mid and sub-bass forward, mids are scooped and can get hollow.",B-,B-,4BA 1DD,Ear.Inc demo unit
336,C+,,Tripowin x HBB Mele,50,V-shaped,,B,C+,DD,Available for demo at The Hangout
337,C+,,Edifier TWS5,80,V-shaped,"Good tone and bass response, but unfortunately lacking detail retrieval.",B,C+,DD,Third party unit
338,C+,,Whizzer A15 Pro,120,Bright neutral,"Interesting Etymotic-like DF tuning, though far more thin-sounding and rather shouty.",B,C+,DD,Zeppelin & Co demo unit
339,C+,,ThieAudio Legacy 3 (L3),130,Neutral,"Balanced tonality with a laid-back signature, nothing much to fault nor to praise.",B,C+,2BA 1DD,Available for demo at The Hangout
340,C+,,Audiosense AQ4,180,Neutral with bass boost,,B,C+,3BA 1DD,Available for demo at The Hangout
341,C+,,Ambient Dynamics AD-006 “Lyndale”,200,Warm neutral,,B,C+,1BA 1DD,Available for demo at The Hangout
342,C+,,Tansio Mirai TSMR-3 Pro,200,Variable,"Mostly just variations of ""warm"". Pleasant tuning but lacking detail and clarity.",B,C+,3BA,Available for demo at The Hangout
343,C+,,QoA Adonis,220,Mild V-shape,Somewhat balanced tonality if not for a bit of bass bleed. Not the most technical.,B,C+,2BA 1DD,ConnectIT demo unit
344,C+,,Soranik SP3,250,Bright V-shape,"Thin-sounding, a little strong with the BA timbre and can be fatiguing.",C+,B,3BA,Showfloor demo unit
345,C+,,SeeAudio Bravery,280,Neutral with bass boost,,B,C+,4BA,Available for demo at The Hangout
346,C+,,ARC Pollux,285,Neutral,Well-tuned neutral single-BA IEM.,B,C+,BA,Showfloor demo unit
347,C+,,Periodic Audio Be,300,Mild V-shape,"Meaty with decent sparkle in the treble, whilst remaining clear and clean.",C+,B,DD,Available for demo at The Hangout
348,C+,,Massdrop Plus,300,Warm neutral,"Reference-targeted sound with excellent clarity and detail, with a slightly more fun tuning.",B,C+,3BA,Available for demo at The Hangout
349,C+,,Tansio Mirai TSMR-5,430,Warm V-shape,"Alright tonality, decent detailing but nothing that makes it stand out.",B,C+,5BA,Available for demo at The Hangout
350,C+,,FiiO FH7,450,V-shaped,What is otherwise a pretty good hybrid marred by a strange tonality.,C+,B,4BA 1DD,ConnectIT demo unit
351,C+,,Campfire Polaris V1,600,V-shaped,Pseudo-Japanese tuning focusing on female vocals and a very lively signature.,C+,B,1BA 1DD,Zeppelin & Co demo unit
352,C+,,qdc Anole V3,600,Variable,The bassier of the Anole brothers. Better timbre but worse technicalities.,C+,B,3BA,Music Sanctuary demo unit
353,C+,,Aroma Early,600,Neutral with bass boost,Capable V-shaped hybrid. Could use a little more control in the bass.,B,C+,1BA 1DD,AV One demo unit
354,C+,,Shanling ME800,800,Variable,,C+,B,4BA 2DD,Available for demo at The Hangout
355,C+,,Empire Ears ESR,1000,Bright V-shape,Has the technical chops but is sharp and fatiguing.,C+,B,3BA,Zeppelin & Co demo unit
356,C+,,Unique Melody Maverick II,1050,Neutral,,B,C+,4BA 1DD,e-Earphone demo unit
357,C+,,Astell & Kern T9iE,1300,U-shaped,"Feels like a more neutral take on the T8iE, though I'm not sure if it works. Sounds off overall.",C+,B,DD,AV One demo unit
358,C+,,Vision Ears VE5,1400,Neutral,"Tuning that avoids any fatiguing peaks, at the cost of midrange coherency.",C+,B,5BA,E1 demo unit
359,C+,,Jomo Quatre,1500,V-shaped,Nicely tuned hybrid that serves as a good all-rounder.,C+,B,3BA 1DD,Euphoria Audio demo unit
360,C+,,Alclair Electro,1500,Neutral with bass boost,"A decent performer in its own right, but nothing that its cheaper brothers aren't already doing.",B,C+,2EST 4BA,Ear.Inc demo unit
361,C+,,FitEar Monet 17,1550,Warm V-shape,"Somewhat bloated and sharp-sounding at the same time. Very coloured and very spicy, not for everyone.",C+,B,4BA,Jaben SG demo unit
362,C+,,Westone Mach 80,1600,Dark neutral,,C+,B,8BA,e-Earphone demo unit
363,C+,,Aroma Twins,1700,Variable,"Swap between ""too warm"" or ""too bright"". Extremely coloured on both ends of the spectrum.",C+,B,7BA,AV One demo unit
364,C+,,HUM Dolores,1700,Neutral,"Slightly bright-tilted neutral, lacks upper treble extension.",B,C+,2BA,Zeppelin & Co demo unit
365,C+,,FitEar MH335DW,2250,Warm,Warmer than your average 334 with a little more congested. Kind of like a custom-TG334.,C+,B,5BA,Jaben SG demo unit
366,C+,,IMR RAH,Discont.,Variable,Not much point to the filter system when it's just varying degrees of mediocre.,C+,B,1Piezo 1Planar 1DD,Third party unit
367,C+,,EarFun x Oluv Free Pro,Discont.,Dark neutral,"Pretty inoffensive overall, though clarity takes a hit due to the dark tilt in tonality.",B,C+,DD,Available for demo at The Hangout
368,C+,,Lypertek Bevi,50,Neutral,"Solid, well-balanced tonality. Narrow imaging and subpar resolution.",B+,C,BA,Jaben Melbourne demo unit
369,C+,,Tin HiFi T2 Plus,60,Warm neutral,"A solidly-tuned, inoffensive signature with middling technicalities.",B+,C,DD,Available for demo at The Hangout
370,C+,,Shure Aonic 3,160,Neutral,"Slightly bright-tilted neutral, lacks upper treble extension.",B+,C,BA,ConnectIT demo unit
371,C+,,NXEars Sonata,200,Neutral,"Pretty solid neutral tuning, though not very resolving and with one-dimensional imaging.",B+,C,BA,Zeppelin & Co demo unit
372,C+,,Mangird MT4,200,Neutral with bass boost,,B+,C,3BA 1DD,Available for demo at The Hangout
373,C+,,Fearless Shangri-la,230,V-shaped,,B+,C,4BA 1DD,Available for demo at The Hangout
374,C+,,Fatfreq Musician Pro SE,380,Neutral with bass boost,,B+,C,3BA,Showfloor demo unit
375,C+,,Dita Truth Answer Edition,450,V-shaped,"Classic Dita V-shape; free of bloat, though notably forward and a little harsh on the ears.",C,B+,DD,Zeppelin & Co demo unit
376,C+,,Acoustune HS1501,500,Warm V-shape,"A more textured, bassier and more energetic version of the HS1551.",C,B+,DD,Zeppelin & Co demo unit
377,C+,,Dita Truth,750,V-shaped,"Classic Dita V-shape; free of bloat, though notably forward and a little harsh on the ears.",C,B+,DD,Zeppelin & Co demo unit
378,C+,,Alclair Studio3,750,Neutral with bass boost,Competent tuning if limited by detail retrieval and upper treble extension.,B+,C,3BA,Ear.Inc demo unit
379,C+,,Acoustune HS1790,1000,Bright V-shape,,C,B+,DD,e-Earphone demo unit
380,C+,,Kumitate KL-REF Type-S,1350,Variable,Well tuned but unfortunately suffers from very odd timbre.,C,B+,3BA 2DD,Third party unit
381,C+,,FAudio Major,1400,V-shaped,Piercing sharp treble and overwhelming bass makes this hard to listen to.,C,B+,DD,Third party unit
382,C+,,Campfire Solaris (2020),1500,Bright V-shape,"Similar (but not identical) upper midrange problems to the original, with added sibilance.",C,B+,4BA 1DD,Third party unit
383,C+,,Canal Works CW-U91,1570,Warm U-shape,,C,B+,16BA,e-Earphone demo unit
384,C+,,Hifiman RE400,Discont.,Bright neutral,The legend still holds up well today. Solid tonality with average technicalities.,B+,C,DD,Personal unit
385,C+,,Moondrop Spaceship,20,Bright V-shape,Shouty with a slight warm tilt as a counterbalance. Not the worst DF-ish IEM out there.,C+,B-,DD,Third party unit
386,C+,,Tin HiFi T2,50,Neutral,Well-balanced tuning and an all-rounder signature that works for most.,B-,C+,2DD,Available for demo at The Hangout
387,C+,,Tin HiFi T3,80,Mild V-shape,"Somewhat generic hybrid signature, tuned well with good transient ability.",B-,C+,1BA 1DD,Available for demo at The Hangout
388,C+,,Final Audio Heaven II,90,Bright neutral,Solid technical ability though might be a little too sterile at times.,B-,C+,BA,A2A Melbourne demo unit
389,C+,,Tanchjim Echo,100,Bright U-shape,,B-,C+,DD,Available for demo at The Hangout
390,C+,,Anker Soundcore Liberty Air 2,100,U-shaped,"A lot of sub-bass and a lot of treble. Fun, but very fatiguing.",B-,C+,DD,ConnectIT demo unit
391,C+,,DUNU Kima,100,Mild V-shape,,B-,C+,DD,Available for demo at The Hangout
392,C+,,Tripowin x HBB Olina,100,V-shaped,,B-,C+,DD,Third party unit
393,C+,,NiceHCK NX7 Mk3,120,U-shaped,Piercing treble probably due to the piezo driver. Competent tonality otherwise.,C+,B-,1Piezo 4BA 2DD,Available for demo at The Hangout
394,C+,,Shuoer Tape,130,V-shaped,Decent technicalities but it basically screams in your face.,C+,B-,MS,Oardio demo unit
395,C+,,NiceHCK NX7 Pro,132,Bright V-shape,Superb midrange tonality marred by a painfully piercing treble response.,C+,B-,1Piezo 4BA 2DD,Available for demo at The Hangout
